FKZ;Ressort;Referat;PT;Arb.-Einh.;Zuwendungsempfaenger;Gemeindekennziffer;Stadt/Gemeinde;Ort;Land;Staat;AusfuehrendeStelle;Gemeindekennziffer_1;Stadt/Gemeinde_2;Ort_3;Land_4;Staat_5;Thema;Leistungsplansystematik;KlartextLeistungsplansystematik;LaufzeitVon;LaufzeitBis;FoerdersummeInEUR;Foerderprofil;Verbundprojekt
M096498X/9;BMBF;417;BF;;Verband der Studierenden der Berufspaedagogik e.V.;5334002;Aachen, Stadt;Aachen;Nordrhein-Westfalen;;Verband der Studierenden der Berufspaedagogik e.V.;5334002;Aachen, Stadt;Aachen;Nordrhein-Westfalen;;Foerderung hochschulbezogener zentraler Massnahmen;YC7100;Foerderung hochschulbezogener zentraler Massnahmen studentischer Verbaende und anderer Organisationen;1101997;30091998;1534;uebrige, nicht FuE-relevante Bildungsausgaben (ohne BAfoeG);
281126;BMBF;727;PTKA;WTE-W_KA;Bauhaus-Universitaet Weimar;16055000;Weimar, Stadt;Weimar;Thueringen;;Bauhaus-Universitaet Weimar - Fakultaet Bauingenieurwesen - Professur Abfallwirtschaft;16055000;Weimar, Stadt;Weimar;Thueringen;;Einrichten einer Transferstelle im Netzwerk Umweltbiotechnologie;FC3080;Behandlung von Abfaellen;1051998;31102000;1230425;Forschung und Entwicklung zur Daseinsvorsorge;
UHZ9701 /7;BMBF;724;BF;;Fraunhofer Management GmbH (FhM);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer Management GmbH (FhM);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Wissenschaftliche Nutzung des Umwelthoehenobservatoriums UHOZ im Schneefernerhaus auf der Zugspitze;FA1099;Sonstige Aktivitaeten im Bereich Klima- und Atmosphaerenforschung;1011997;31122000;2075925;Forschung und Entwicklung zur Daseinsvorsorge;
01RP9708/1;BMBF;727;PT-DLR;UF;CIMBRIA SKET GmbH;15003000;Magdeburg, Landeshauptstadt;Magdeburg;Sachsen-Anhalt;;CIMBRIA SKET GmbH;15003000;Magdeburg, Landeshauptstadt;Magdeburg;Sachsen-Anhalt;;Verbundprojekt: Umweltfreundliche Rapssaatenverarbeitung - Teilvorhaben 1: Entwicklung, Bau und Erprobung von Technologien und Ausruestungen zur abproduktarmen Herstellung von oelen;FD8020;Integrierter Umweltschutz im Bereich Landwirtschaft und Ernaehrung;1081998;30092000;153573;Technologie- und Innovationsfoerderung;Umweltfreundliche Rapssaatenverarbeitung
21LT499I/1;BMBF;314;BIBB;AB 4.3;Handwerkskammer Osnabrueck-Emsland-Grafschaft Bentheim;3404000;Osnabrueck, Stadt;Osnabrueck;Niedersachsen;;Handwerkskammer Osnabrueck-Emsland-Grafschaft Bentheim;3404000;Osnabrueck, Stadt;Osnabrueck;Niedersachsen;;Modernisierung der Ausstattung fuer die Friseurwerkstatt und Kosmetikwerkstatt im BTZ Osnabrueck;YB3000;ueberbetriebliche berufliche Ausbildungsstaetten;20111997;30121999;27047;uebrige, nicht FuE-relevante Bildungsausgaben (ohne BAfoeG);
18S0139 /8;BMWi;IVD1;PT-J;MGS1;Hamburgische Schiffbau-Versuchsanstalt Gesellschaft mit beschraenkter Haftung;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Hamburgische Schiffbau-Versuchsanstalt Gesellschaft mit beschraenkter Haftung;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Numerische Widerstandsprognose;HB4030;Schifffahrt;1021998;30062000;254972;Forschung und Entwicklung zur Daseinsvorsorge;
21LT611I/3;BMBF;314;BIBB;AB 4.3;Handwerkskammer des Saarlandes;10041100;Saarbruecken, Landeshauptstadt;Saarbruecken;Saarland;;Handwerkskammer des Saarlandes;10041100;Saarbruecken, Landeshauptstadt;Saarbruecken;Saarland;;Modernisierung der Ausstattung in der Akademie des Handwerks der Handwerkskammer des Saarlandes Saarbruecken;YB3000;ueberbetriebliche berufliche Ausbildungsstaetten;31101997;31121998;33950;uebrige, nicht FuE-relevante Bildungsausgaben (ohne BAfoeG);
D069000 /0;BMBF;314;BIBB;A3.3;Bayerisches Staatsministerium fuer Wirtschaft, Infrastruktur, Verkehr und Technologie;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Friedrich-Alexander-Universitaet Erlangen-Nuernberg;9562000;Erlangen;Erlangen;Bayern;;MV: Modernisierung und Differenzierung der dualen Berufsbildung;OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1011998;30062001;447220;Forschung und Entwicklung zur Daseinsvorsorge;
D218700 /5;BMBF;314;BIBB;A3.3;Ministerium fuer Verkehr, Energie und Landesplanung des Landes Nordrhein-Westfalen (MVEL);5111000;Duesseldorf, Stadt;Duesseldorf;Nordrhein-Westfalen;;Verein zur Foerderung des Forschungsinstituts fuer Berufsbildung im Handwerk e.V.;5315000;Koeln, Stadt;Koeln;Nordrhein-Westfalen;;Karriereorentierte Weiterbildung im Handwerk;OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1011998;31052002;443152;Forschung und Entwicklung zur Daseinsvorsorge;
D218700B/8;BMBF;314;BIBB;A3.3;Ministerium fuer Verkehr, Energie und Landesplanung des Landes Nordrhein-Westfalen (MVEL);5111000;Duesseldorf, Stadt;Duesseldorf;Nordrhein-Westfalen;;Gesellschaft zur Foerderung des Forschungsinstituts fuer Berufsbildung im Handwerk an der Universitaet zu Koeln e.V.;5315000;Koeln, Stadt;Koeln;Nordrhein-Westfalen;;WB zum MV 'Karriereorientierte Weiterbildung im Handwerk';OB1050;Versuchs- und Modelleinrichtungen und -programme im Bereich der beruflichen Bildung;1011998;31052002;103163;Forschung und Entwicklung zur Daseinsvorsorge;
