FKZ;Ressort;Referat;PT;Arb.-Einh.;Zuwendungsempfaenger;Gemeindekennziffer;Stadt/Gemeinde;Ort;Land;Staat;AusfuehrendeStelle;Gemeindekennziffer_1;Stadt/Gemeinde_2;Ort_3;Land_4;Staat_5;Thema;Leistungsplansystematik;KlartextLeistungsplansystematik;LaufzeitVon;LaufzeitBis;FoerdersummeInEUR;Foerderprofil;Verbundprojekt
13N8835;BMBF;514;PT-VDI;TZ-PT;HELIOS Klinikum Erfurt GmbH;16051000;Erfurt, Stadt;Erfurt;Thueringen;;HELIOS Klinikum Erfurt GmbH;16051000;Erfurt, Stadt;Erfurt;Thueringen;;Verbundprojekt: Kopfchirurgisches Zentrum - Teilprojekt: Spezifikation der vorhandenen Infrastruktur zur Realisierung eines innovativen OP-Prototypen zur ophthalmologischen Laserapplikation;L01130;Optische Technologien fuer Biowissenschaften und Gesundheit;1092005;31072008;347550;Technologie- und Innovationsfoerderung;Kopfchirurgisches Zentrum
13N8774;BMBF;523;PT-VDI;TZ-PT;Philips GmbH (alt);2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Philips Technologie GmbH - Forschungslaboratorien Hamburg;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Verbundprojekt: Zeitaufgeloeste Fluoreszenzmammographie (FLUOROMAMM) - Teilvorhaben: Systemintegration und Bildrekonstruktion fuer die optische Fluoreszenzmammographie;KA1220;Nanomedizin;1042005;31032008;656484;Technologie- und Innovationsfoerderung;Zeitaufgeloeste Fluoreszenzmammographie (FLUOROMAMM)
19G5031B;BMWi;IVA3;PT-MVT;MVBW;UPS Transport OHG;5162024;Neuss, Stadt;Neuss;Nordrhein-Westfalen;;UPS Transport OHG - Netzwerkplanung;5315000;Koeln, Stadt;Koeln;Nordrhein-Westfalen;;Verbundprojekt End-of-runway-Logistik: Teilvorhaben UPS GmbH, Verkehrsvermeidung und Verkehrsverknuepfung an 'End-of-runway-Logistik'-Standortenidentifizierung und Evaluierung von Vernetzungspotenzialen an Logistikstandorten flughafengebundener und -orientierter Verkehre;HA3020;Logistik und Transportketten;1092005;31082007;5386;Technologie- und Innovationsfoerderung;End of Runway
01GC9701/7;BMBF;614;PT-DLR;GF;Albert-Ludwigs-Universitaet Freiburg;8311000;Freiburg im Breisgau, Stadt;Freiburg im Breisgau;Baden-Wuerttemberg;;Albert-Ludwigs-Universitaet Freiburg - Universitaetsklinikum - Hautklinik;8311000;Freiburg im Breisgau, Stadt;Freiburg;Baden-Wuerttemberg;;Verbundprojekt: Klinische Forschergruppen 'Pathomechanismen der allergischen Entzuendung';AA0160;Sonstige krankheitsbezogene und -uebergreifende Massnahmen;1011998;31122000;1510319;Technologie- und Innovationsfoerderung;Klinische Forschergruppe Freiburg
01EM0517;BMBF;614;PT-DLR;GF;Universitaet Hamburg;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Universitaetsklinikum Hamburg-Eppendorf - Neurozentrum - Institut fuer Systemische Neurowissenschaften;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Forschungsverbund Kopfschmerz: Teilprojekt der Universitaet Hamburg (2. Foerderphase);AA0120;Nervensystem und Psyche;1102005;31122008;168495;Technologie- und Innovationsfoerderung;Forschungsverbund 'Kopfschmerz'
01KG0504;BMBF;614;PT-DLR;GF;Ruprecht-Karls-Universitaet Heidelberg;8221000;Heidelberg, Stadt;Heidelberg;Baden-Wuerttemberg;;Ruprecht-Karls-Universitaet Heidelberg - Medizinische Fakultaet und Universitaetsklinikum Heidelberg - Neurologische Klinik;8221000;Heidelberg, Stadt;Heidelberg;Baden-Wuerttemberg;;GACHE: multizentrische, doppelblinde, randomisierte und prospektive Studie zur Beurteilung des Effekts von Dexamethason in Patienten mit Herpesenzephalitis;AA0260;Klinisch evaluative Forschung;1092005;31122012;934126;Technologie- und Innovationsfoerderung;
01GH0506;BMBF;614;PT-DLR;GF;Universitaet Leipzig;14713000;Leipzig, Stadt;Leipzig;Sachsen;;Universitaet Leipzig - Zentrum fuer Klinische Studien Leipzig (ZKS Leipzig);14713000;Leipzig, Stadt;Leipzig;Sachsen;;Verbundprojekt: Infrastruktur fuer Arzneimittelstudien/-pruefungen bei Kindern - Paediatrisches Modul am Koordinierungszentrum fuer Klinische Studien Leipzig;AA0260;Klinisch evaluative Forschung;1102005;30092008;357308;Technologie- und Innovationsfoerderung;PAED-Net 2
01GH0502;BMBF;614;PT-DLR;GF;Johannes Gutenberg-Universitaet Mainz;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;Universitaetsmedizin der Johannes Gutenberg-Universitaet Mainz - Interdisziplinaeres Zentrum Klinische Studien (IZKS);7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;Verbundprojekt: Koordinierungszentrale und Modul Mainz des Paediatrischen Netzwerks (PAED-Net) zur Optimierung von Klinischen Arzneimittelpruefungen bei Kindern und Jugendlichen;AA0260;Klinisch evaluative Forschung;1102005;30092008;900421;Technologie- und Innovationsfoerderung;PAED-Net 2
01GU0524;BMBF;614;PT-DLR;GF;Axolabs GmbH;9477128;Kulmbach, GKSt;Kulmbach;Bayern;;Axolabs GmbH;9477128;Kulmbach, GKSt;Kulmbach;Bayern;;Verbundprojekt: RNA-Interferenz zur Hemmung des TGF-ss Systems: Synthese, Identifikation und Pharmakokinetik (TPA, Vornlocher);AA0250;Translationsforschung;1012006;31122008;252898;Technologie- und Innovationsfoerderung;RNA-Interferenz zur Hemmung des TGF-ss Systems
16SV2113;BMBF;522;PT-VDI/VDE;TZ-MST;Omicron-Laserage Laserprodukte GmbH;6438011;Rodgau, Stadt;Rodgau;Hessen;;Omicron-Laserage Laserprodukte GmbH;6438011;Rodgau, Stadt;Rodgau;Hessen;;Verbundprojekt: Mikrosystemtechnisches Laserprojektionssystem zur informatorischen Fahrerassistenz - MIKLAS - , Teilvorhaben: Hochintegrierte Zusammenfuehrung von Laserquellen, sowie Mikrospiegel und Mikrooptiken zu Laserprojektionssysteme;GD3181;Weiterentwicklung der Systemtechniken;1102005;30062009;454397;Technologie- und Innovationsfoerderung;Mikrosystemtechnisches Laserprojektionssystem zur informatorischen Fahrerassistenz - MIKLAS -
01GC9702/0;BMBF;614;PT-DLR;GF;Humboldt-Universitaet zu Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;Humboldt-Universitaet zu Berlin - Kinderklinik und Poliklinik;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Klinische Forschergruppe Allergologie: Determinanten der Entwicklung von Atopie und Asthma;AA0120;Nervensystem und Psyche;1011998;31122000;1610882;Technologie- und Innovationsfoerderung;Klinische Forschergruppe Berlin
330716;BMBF;727;PT-J;UMW;Helmut-Schmidt-Universitaet - Universitaet der Bundeswehr Hamburg;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Helmut-Schmidt-Universitaet - Universitaet der Bundeswehr Hamburg - Fakultaet fuer Maschinenbau - Institut fuer Thermodynamik;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Definitionsphase zur Vorbereitung eines deutsch-chinesischen Verbundprojekts mit dem Thema 'Odour Control - Innovative Verfahren zur Minderung der Umweltbelastung durch Geruchsemissionen aus der Ernaehrungsindustrie;FD1010;Beduerfnisfeld Ernaehrung;1082005;31032006;56815;Technologie- und Innovationsfoerderung;
02PB2012;BMBF;521;PTKA;PFT (KA);Technische Universitaet Muenchen;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Technische Universitaet Muenchen - Fakultaet fuer Maschinenwesen - Lehrstuhl fuer Umformtechnik und Giessereiwesen;9184119;Garching b.Muenchen, St;Garching b.Muenchen;Bayern;;Verbundprojekt: Industrielle metallische Klettverbindung (METAKLETT), Schwerpunkt: Wissenschaftliche Unterstuetzung der Verfahrensentwicklung zur Herstellung der Klettsysteme und deren Auslegung;M08020;Fertigungstechnologien und Produktionsausruestungen;1102005;30062009;538602;Technologie- und Innovationsfoerderung;METAKLETT
16SV2111;BMBF;522;PT-VDI/VDE;TZ-MST;Silicon Sensor International AG;11000000;Berlin, Stadt;Berlin;Berlin;;Silicon Sensor International AG;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Einsatz miniaturisierter, integrierter Mehrstrahl-Lidarsensorik zur dynamischen Fahrzeugumfeld- und -umgebungserfassung in fahrerunterstuetzenden Sensorsystemen - MELIS, Teilvorhaben: Integrierte APD-Sensorarraymodule;GD3181;Weiterentwicklung der Systemtechniken;1102005;31032007;0;Technologie- und Innovationsfoerderung;Einsatz min., integrierter Mehrstrahl-Lidarsensorik zur dyn.  Fahrzeugumfeld- u. -umgebungserfassung in fahrerunterstuetzenden Sensorsystemen - MELIS
13N8900;BMBF;523;PT-VDI;TZ-PT;Gambro Dialysatoren GmbH;8417031;Hechingen, Stadt;Hechingen;Baden-Wuerttemberg;;Gambro Dialysatoren GmbH;8417031;Hechingen, Stadt;Hechingen;Baden-Wuerttemberg;;Verbundprojekt: Nanostrukturierte Polymersubstrate fuer die Selektion und Expansion von Stammzellen fuer zellulaere Therapien (HyCelex) - Teilvorhaben: Nanostrukturierte Substrate im Medizinprodukt;KA1030;Leitinnovation NanoForLife;1092005;31082008;609768;Technologie- und Innovationsfoerderung;Nanostrukturierte Polymersubstrate fuer die Selektion und Expansion von Stammzellen fuer zellulaere Therapien
329984;BMWi;IIC6;PT-J;ESE1;Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V.;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Fraunhofer-Institut fuer Solare Energiesysteme (ISE);8311000;Freiburg im Breisgau, Stadt;Freiburg im Breisgau;Baden-Wuerttemberg;;PV-TEC - PhotoVoltaik Technologie EvaluationsCenter;EB1080;Forschungsinfrastruktur;15122004;30062007;13956788;Technologie- und Innovationsfoerderung;
22000203;BMEL;532;PT-FNR;PM;NANOVAL GmbH & Co. KG;11000000;Berlin, Stadt;Berlin;Berlin;;NANOVAL GmbH & Co. KG;11000000;Berlin, Stadt;Berlin;Berlin;;Spinneinrichtung fuer Spinnvliese aus Zellstoff;ZMAN;LP fuer alle Mandanten;15122004;31072005;49251;Ministerium;
0313420B;BMBF;726;PT-J;BIO2;Alvotech Germany GmbH;5358024;Juelich, Stadt;Juelich;Nordrhein-Westfalen;;Alvotech Germany GmbH;5358024;Juelich, Stadt;Juelich;Nordrhein-Westfalen;;BioChancePLUS: Verbundprojekt: Entwicklung eines innovativen Produktionssystems fuer Biopharmazeutika auf der Grundlage humaner Amniocyten;B00601;BioChancePLUS;1042005;31032008;436623;Technologie- und Innovationsfoerderung;Humane Amniocyten als Produktionssystem
GKS2005L;BMBF;523;BF;;Helmholtz-Zentrum Geesthacht Zentrum fuer Material- und Kuestenforschung GmbH;1053032;Geesthacht, Stadt;Geesthacht;Schleswig-Holstein;;Helmholtz-Zentrum Geesthacht Zentrum fuer Material- und Kuestenforschung GmbH;1053032;Geesthacht, Stadt;Geesthacht;Schleswig-Holstein;;Gesetzliche Endlageraufwendungen (Endlagervorausleistungen und Endlagergebuehren);ED1000;Beseitigung kerntechnischer Anlagen;1012005;31122005;1298570;Technologie- und Innovationsfoerderung;
13N8742;BMBF;514;PT-VDI;TZ-PT;JENOPTIK Optical Systems GmbH;16053000;Jena, Stadt;Jena;Thueringen;;JENOPTIK Optical Systems GmbH;16053000;Jena, Stadt;Jena;Thueringen;;Verbundprojekt: Wirtschaftliche Fertigung ultrapraeziser Asphaeren (Asphero 5) - Teilvorhaben: 3D-Messtechnik und Bearbeitung;L05070;Ultrapraezisionsbearbeitung;1042005;31032008;550832;Technologie- und Innovationsfoerderung;Wirtschaftliche Fertigung ultrapraeziser Asphaeren (Asphero 5)
50EE0411;BMWi;IVD5;DLR-RFM;RD-RE;ConTour Congresse - Marketing - Touristik GmbH, Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;ConTour Congresse - Marketing - Touristik GmbH, Berlin;11000000;Berlin, Stadt;Berlin;Berlin;;5th IAA-Symposium on Small Satellites for Earth Observation (Vorbereitung, Durchfuehrung, Nachbereitung und Auswertung);IB2060;uebergreifendes und Sonstiges im Rahmen der Erdbeobachtung;1122004;31102005;38958;Technologie- und Innovationsfoerderung;
1501305;BMWi;IIA6;PT-GRS;FB-ZA;Ruhr-Universitaet Bochum;5911000;Bochum, Stadt;Bochum;Nordrhein-Westfalen;;Ruhr-Universitaet Bochum - Fakultaet fuer Maschinenbau - Institut fuer Energietechnik - Energiesysteme und Energiewirtschaft;5911000;Bochum, Stadt;Bochum;Nordrhein-Westfalen;;Analyse und Bewertung der ATHLET-CD Modellbasis durch Anwendung auf ausgewaehlte Experimente;EC8310;Kernschmelzen, Spaltprodukttransport und Strahlenbelastung, Wasserstoffentstehung und -verhalten;1072005;30062010;500938;Technologie- und Innovationsfoerderung;
50WB0516;BMWi;IVD5;DLR-RFM;RD-RW;Universitaet Duisburg-Essen;5113000;Essen, Stadt;Essen;Nordrhein-Westfalen;;Universitaet Duisburg-Essen - Fachbereich Biologie und Geographie - Abt. fuer Genetik;5113000;Essen, Stadt;Essen;Nordrhein-Westfalen;;Zytogenetische Effekte ionisierender Strahlung in peripheren Lymphozyten von Besatzungen der ISS;IB3020;Forschung unter Weltraumbedingungen - Biowissenschaften und Medizin;1022005;31122007;191444;Technologie- und Innovationsfoerderung;
0313412D;BMBF;726;PT-J;BIO2;LaVision BioTec GmbH;5711000;Bielefeld, Stadt;Bielefeld;Nordrhein-Westfalen;;LaVision BioTec GmbH;5711000;Bielefeld, Stadt;Bielefeld;Nordrhein-Westfalen;;Verbundprojekt: BioProfile Braunschweig/Goettingen/Hannover: Beschleunigung komplexer Bioanalytik - Multiexpontielles dynamisches 3D t-Mapping in vitro in vivo - 3D-FLIM;B00604;BioProfile;1052005;30042008;269476;Technologie- und Innovationsfoerderung;Multiexponentielles dynamisches 3D tau-Mapping
01HY0353;BMBF;521;PT-DLR;AD;SECURVITA BKK;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;SECURVITA BKK;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;Verbundprojekt: TIM - Transfer innovativer Unternehmensmilieus, Teilvorhaben Umsetzung beteiligungsorientierter Instrumente der Personalfuehrung: von der Zukunftskonferenz zu Zielvereinbarungen, Informationsmanagement und Fuehrungskraefteschulungen;JA5010;Innovative Gestaltung von Arbeitsorganisation;1032005;31102007;77402;Technologie- und Innovationsfoerderung;TIM - Transfer innovativer Unternehmensmilieus
13N8712;BMBF;514;PT-VDI;TZ-PT;Laser Zentrum Hannover e.V.;3241001;Hannover, Landeshauptstadt;Hannover;Niedersachsen;;Laser Zentrum Hannover e.V.;3241001;Hannover, Landeshauptstadt;Hannover;Niedersachsen;;Verbundprojekt: OCT-kontrollierte Mikrochirurgie basierend auf fs-Technologie (Sehendes Skalpell) - Teilvorhaben: Realisierung von Strahlfuehrung und Strahlablenkung;L01130;Optische Technologien fuer Biowissenschaften und Gesundheit;1092005;31082008;323900;Technologie- und Innovationsfoerderung;OCT-kontrollierte Mikrochirurgie basierend auf fs-Technologie (Sehendes Skalpell)
03D0060A/5;BMBF;523;PT-J;NMT;Johannes Gutenberg-Universitaet Mainz;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;Johannes Gutenberg-Universitaet Mainz - FB 09 Chemie, Pharmazie und Geowissenschaften - Institut fuer Physikalische Chemie;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;Untersuchung von Teilchenbildung und Teilchenkoaleszenz in Kolloiddispersionen mit Hilfe von Tracermethoden - Teilprojekt: Bartsch/Sillescu;KB8805;Sonstiges Fachthemen der Chemischen Technologien;1091997;30062000;164022;Technologie- und Innovationsfoerderung;
03D0060B/8;BMBF;523;PT-J;NMT;Technische Universitaet Clausthal;3153018;Clausthal-Zellerfeld, Berg- und Universitaetsstadt;Clausthal-Zellerfeld;Niedersachsen;;Technische Universitaet Clausthal - Fakultaet fuer Natur- und Materialwissenschaften - Institut fuer Physikalische Chemie;3153004;Clausthal-Zellerfeld, Bergstadt;Clausthal-Zellerfeld;Niedersachsen;;Untersuchung von Teilchenbildung und Teilchenkoaleszenz in Kolloiddispersionen mit Hilfe von Tracer-Methoden - Teilprojekt: Adams/Fuhrmann;KB8820;Altvorhaben Chemische Technologien;1091997;30062000;119504;Technologie- und Innovationsfoerderung;
03D0060C/0;BMBF;523;PT-J;NMT;Max-Planck-Gesellschaft zur Foerderung der Wissenschaften e.V. (MPG);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Max-Planck-Institut fuer Polymerforschung;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;Untersuchung von Teilchenbildung und Teilchen-Koaleszenz in Kolloiddispersionen mit Hilfe von Tracer-Methoden - Teilprojekt: Wiesner/Spiess;KB8805;Sonstiges Fachthemen der Chemischen Technologien;1091997;30062000;141117;Technologie- und Innovationsfoerderung;
03N3050A/0;BMBF;523;PT-J;NMT;Thyssen Schienen Technik GmbH;5112000;Duisburg, Stadt;Duisburg;Nordrhein-Westfalen;;Thyssen Schienen Technik GmbH;5112000;Duisburg, Stadt;Duisburg;Nordrhein-Westfalen;;Verbundprojekt OPTIKON: Werkstoffoptimierung des Rad/Schiene-Kontaktes im Hochleistungsverkehr - Teilvorhaben: Entwicklung neuer Schienengueten;KB9902;Altvorhaben Werkstoffe fuer Zukunftstechnologien;1011998;31122001;136434;Technologie- und Innovationsfoerderung;OPTIKON
01HG9755/3;BMBF;521;PT-DLR;AT;General Automatic Klaus Ebel;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;General Automatic Klaus Ebel;2000000;Hamburg, Freie und Hansestadt;Hamburg;Hamburg;;DL-PEM 8: Handwerk als Leitbild fuer Dienstleistungsrientierung in innovativen KMU - Teilprojekt: Neue Dienstleistungen im Handwerk am Beispiel der Gebaeudeleittechnik - Dienstleistungspotentiale und Einsatzgebiete;JA2050;Dienstleistungen der Zukunft;1041997;30061998;3566;Technologie- und Innovationsfoerderung;
ADW9705 /8;BMBF;426;BF;;Ministerpraesident des Landes Nordrhein-Westfalen;5111000;Duesseldorf, Stadt;Duesseldorf;Nordrhein-Westfalen;;Nordrhein-Westfaelische Akademie der Wissenschaften und der Kuenste;5111000;Duesseldorf, Stadt;Duesseldorf;Nordrhein-Westfalen;;Gemeinsame Foerderung eines von der Konferenz der Akademien der Wissenschaften koordinierten Programms (Akademienprogramm);PA1010;Geisteswissenschaftliche Forschung - Projektfoerderung;1011997;31121997;970943;Forschung und Entwicklung zur Daseinsvorsorge;
ADW9715 /6;BMBF;426;BF;;Kultusministerium des Landes Sachsen-Anhalt;15003000;Magdeburg, Landeshauptstadt;Magdeburg;Sachsen-Anhalt;;Deutsche Akademie der Naturforscher Leopoldina e.V.;15002000;Halle (Saale), Stadt;Halle (Saale);Sachsen-Anhalt;;Gemeinsame Foerderung eines von der Konferenz der Akademien der Wissenschaften koordinierten Programms (Akademienprogramm);PA1010;Geisteswissenschaftliche Forschung - Projektfoerderung;1011997;31121997;124295;Forschung und Entwicklung zur Daseinsvorsorge;
19N9712 /2;BMWi;IVA3;PT-MVT;MVBW;Transport und Communication Assessment Center - Weiterbildungs- und Beratungs-GmbH Dresden;14612000;Dresden, Stadt;Dresden;Sachsen;;Transport und Communication Assessment Center - Weiterbildungs- und Beratungs-GmbH Dresden - Interdisziplinaere Forschungsgruppe INTER-VLUS;14612000;Dresden, Stadt;Dresden;Sachsen;;Wissenschaftliche Begleituntersuchung zur Realisierung des Intermodalen Verkehrsleitsysteme Ballungsraum Dresden/Oberes Elbtal;HA2020;Nah- und Regionalverkehr;1011997;30091997;54919;Technologie- und Innovationsfoerderung;
NTS0254 /0;BMBF;523;BF;;Wissenschaftsrat;5315000;Koeln, Stadt;Koeln;Nordrhein-Westfalen;;Wissenschaftsrat;5315000;Koeln, Stadt;Koeln;Nordrhein-Westfalen;;Tagung Materialforschung;KB9901;Altvorhaben Materialforschung;1021997;31071997;7267;Technologie- und Innovationsfoerderung;
C8092B97/0;BMBF;334;BF;;Zentrum Bildende Kunst Neubrandenburg GmbH;13071107;Neubrandenburg, Stadt;Neubrandenburg;Mecklenburg-Vorpommern;;Zentrum Bildende Kunst Neubrandenburg GmbH;13071107;Neubrandenburg, Stadt;Neubrandenburg;Mecklenburg-Vorpommern;;Durchfuehrung eines Foerderkurses Druckgraphik fuer Preistraeger des vom Bundesministerium fuer Bildung, Wissenschaft, Forschung und Technologie im Rahmen des Telekom-Malwettbewerbes ausgelobten Foerderprei ses;RB8020;Wettbewerbe und Preise;20091997;28091997;6902;Technologie- und Innovationsfoerderung;
03G0528A/2;BMBF;725;PT-J;MGS1;GEOMAR - Helmholtz-Zentrum fuer Ozeanforschung Kiel;1002000;Kiel, Landeshauptstadt;Kiel;Schleswig-Holstein;;GEOMAR - Helmholtz-Zentrum fuer Ozeanforschung Kiel;1002000;Kiel, Landeshauptstadt;Kiel;Schleswig-Holstein;;WTZ RUS: KOMEX-Pilotphase1997: Sedimentologisch - Isotopisch - Geochemische Untersuchungen im Ochotskischen Meer;FB8710;Geo-Prozesse der kontinentalen und ozeanischen Lithosphaere;1071997;30061998;69772;Forschung und Entwicklung zur Daseinsvorsorge;
19G9719 /0;BMWi;IVA3;PT-MVT;MVBW;DB Intermodal Services GmbH;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;DB Intermodal Services GmbH;7315000;Mainz, Stadt;Mainz;Rheinland-Pfalz;;KV-Technologieplattform 2000 - Teilvorhaben: Hochleistungs-Tragwageneinheit;HA3010;Kombinierter Verkehr und Umschlagsysteme;1081997;31122000;117408;Technologie- und Innovationsfoerderung;
16SV618 /5;BMBF;522;PT-VDI/VDE;TZ-MS;SIEGERT THINFILM TECHNOLOGY GmbH;16074041;Hermsdorf, Stadt;Hermsdorf;Thueringen;;SIEGERT THINFILM TECHNOLOGY GmbH;16074041;Hermsdorf, Stadt;Hermsdorf;Thueringen;;Verbundprojekt: Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS) - Teilvorhaben: Kontaktschichtsystem- und Werkstoffentwicklung fuer Gassensoren sowie deren Aufbau- und Verbindungstechnik;GD3182;Entwicklung von Standardbauteilen von Mikrosystemen;1011997;31121999;113301;Technologie- und Innovationsfoerderung;Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS)
16SV619 /6;BMBF;522;PT-VDI/VDE;TZ-MS;UST Umweltsensortechnik GmbH;16070057;Geratal;Geschwenda;Thueringen;;UST Umweltsensortechnik GmbH;16070057;Geratal;Geschwenda;Thueringen;;Verbundprojekt: Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS) - Teilvorhaben: Multiwirkschichtsysteme;GD3182;Entwicklung von Standardbauteilen von Mikrosystemen;1011997;31121999;62370;Technologie- und Innovationsfoerderung;Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS)
16SV620 /6;BMBF;522;PT-VDI/VDE;TZ-MS;Daimler AG;9162000;Muenchen, Landeshauptstadt;Ottobrunn;Bayern;;Daimler AG - Forschung und Technik - Mikrosensorik (F2M/M);9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Verbundprojekt: Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS) - Teilvorhaben: Innovative Technologien und Systemkonzepte fuer mikromechanisch hergestellte Gassensorarrays;GD3182;Entwicklung von Standardbauteilen von Mikrosystemen;1011997;31121999;377727;Technologie- und Innovationsfoerderung;Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS)
16SV622 /8;BMBF;522;PT-VDI/VDE;TZ-MS;Endress+Hauser Conducta GmbH+Co. KG;8118019;Gerlingen, Stadt;Gerlingen;Baden-Wuerttemberg;;Endress+Hauser Conducta GmbH+Co. KG;8118019;Gerlingen, Stadt;Gerlingen;Baden-Wuerttemberg;;Verbundprojekt: Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS) - Teilvorhaben: Modulare Regel- und Messelektronik fuer den Betrieb mikrostrukturierter Multisensorsysteme;GD3182;Entwicklung von Standardbauteilen von Mikrosystemen;1011997;31121999;77952;Technologie- und Innovationsfoerderung;Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS)
16SV623 /9;BMBF;522;PT-VDI/VDE;TZ-MS;Hekatron Vertriebs GmbH;8315111;Sulzburg, Stadt;Sulzburg;Baden-Wuerttemberg;;Hekatron Vertriebs GmbH;8315111;Sulzburg, Stadt;Sulzburg;Baden-Wuerttemberg;;Verbundprojekt: Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS) - Teilvorhaben: Evaluierung von Multisensorarrays fuer Anwendungen in der Brandfrueherkennung;GD3182;Entwicklung von Standardbauteilen von Mikrosystemen;1011997;31121999;146982;Technologie- und Innovationsfoerderung;Mikrostrukturierte Sensorsysteme fuer die chemische Gasanalyse (MISCHGAS)
16SV665 /3;BMBF;522;PT-VDI/VDE;TZ-MS;Forschungsverbund Berlin e.V.;11000000;Berlin, Stadt;Berlin;Berlin;;Ferdinand-Braun-Institut - Leibniz-Institut fuer Hoechstfrequenztechnik (FBH) im Forschungsverbund Berlin e.V.;11000000;Berlin, Stadt;Berlin;Berlin;;Verbundprojekt: Faseroptischer Feldsensor (EMV-Sensor) - Teilvorhaben: GaAs- Vorverstaerker;GD3182;Entwicklung von Standardbauteilen von Mikrosystemen;1011997;31101999;149778;Technologie- und Innovationsfoerderung;Faseroptischer Feldsensor (EMV-Sensor)
16SV666 /4;BMBF;522;PT-VDI/VDE;TZ-MS;Microsens GmbH & Co. KG;5915000;Hamm, Stadt;Hamm;Nordrhein-Westfalen;;Microsens GmbH & Co. KG;5915000;Hamm, Stadt;Hamm;Nordrhein-Westfalen;;Verbundprojekt: Faseroptischer Feldsensor (EMV-Sensor) - Teilvorhaben: Entwicklung und Aufbau eines optischen Transceivers;GD3182;Entwicklung von Standardbauteilen von Mikrosystemen;1011997;31101999;60927;Technologie- und Innovationsfoerderung;Faseroptischer Feldsensor (EMV-Sensor)
16SV667 /5;BMBF;522;PT-VDI/VDE;TZ-MS;IMST GmbH;5170020;Kamp-Lintfort, Stadt;Kamp-Lintfort;Nordrhein-Westfalen;;IMST GmbH;5170020;Kamp-Lintfort, Stadt;Kamp-Lintfort;Nordrhein-Westfalen;;Verbundprojekt: Faseroptischer Feldsensor (EMV-Sensor) - Teilvorhaben: Antennenentwicklung auf Sonderkoerpern mit geringer Feldverzerrung;GD3182;Entwicklung von Standardbauteilen von Mikrosystemen;1011997;31101999;228750;Technologie- und Innovationsfoerderung;Faseroptischer Feldsensor (EMV-Sensor)
16SV668 /6;BMBF;522;PT-VDI/VDE;TZ-MS;Siemens Aktiengesellschaft;9162000;Muenchen, Landeshauptstadt;Muenchen;Bayern;;Siemens IT Solutions and Services GmbH & Co. OHG - C-LAB;5774032;Paderborn, Stadt;Paderborn;Nordrhein-Westfalen;;Verbundprojekt: Faseroptischer Feldsensor (EMV-Sensor) - Teilvorhaben: Verbesserung des Entwurfsprozesses durch Kombination von messtechnischen und rechnergestuetzten Analyseverfahren;GD3182;Entwicklung von Standardbauteilen von Mikrosystemen;1011997;31101999;40728;Technologie- und Innovationsfoerderung;Faseroptischer Feldsensor (EMV-Sensor)
